Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,ALE.WA,ALR.WA,BDX.WA,CDR.WA,DNP.WA,KGH.WA,LPP.WA,MBK.WA,PEO.WA,PGE.WA,PKN.WA,PKO.WA,PZU.WA,SPL.WA,TPE.WA,ALE.WA,ALR.WA,BDX.WA,CDR.WA,DNP.WA,KGH.WA,LPP.WA,MBK.WA,PEO.WA,PGE.WA,PKN.WA,PKO.WA,PZU.WA,SPL.WA,TPE.WA,ALE.WA,ALR.WA,BDX.WA,CDR.WA,DNP.WA,KGH.WA,LPP.WA,MBK.WA,PEO.WA,PGE.WA,PKN.WA,PKO.WA,PZU.WA,SPL.WA,TPE.WA,ALE.WA,ALR.WA,BDX.WA,CDR.WA,DNP.WA,KGH.WA,LPP.WA,MBK.WA,PEO.WA,PGE.WA,PKN.WA,PKO.WA,PZU.WA,SPL.WA,TPE.WA,ALE.WA,ALR.WA,BDX.WA,CDR.WA,DNP.WA,KGH.WA,LPP.WA,MBK.WA,PEO.WA,PGE.WA,PKN.WA,PKO.WA,PZU.WA,SPL.WA,TPE.WA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,32.665000915527344,37.223114013671875,314.877685546875,109.68428039550781,42.849998474121094,112.76036834716797,10929.8154296875,341.70001220703125,73.46717071533203,6.8979997634887695,50.24802780151367,27.312162399291992,30.5123348236084,269.1770324707031,2.0510001182556152,33.20000076293945,39.02212945505904,320.94970703125,114.15017579174423,43.18000030517578,116.64865691086342,10991.367085365548,358.8999938964844,75.55080205562776,7.02400016784668,51.46852672941985,28.175922980588,30.939524060579963,280.2588929330141,2.0950000286102295,32.45500183105469,37.12751361475429,314.01025390625,109.53705167582767,42.119998931884766,112.76036834716797,10252.747217228982,340.0,73.31283026984818,6.849999904632568,50.20016384544258,27.312162399291992,30.259186316758935,266.4466970029943,2.0510001182556152,32.45500183105469,37.80540253025839,320.94970703125,111.99083870928422,42.119998931884766,115.67658476993957,10534.12621461434,347.3999938964844,74.23888471817254,6.877999782562256,50.35172847510961,27.72676622621734,30.290830634557178,271.9073434317568,2.069999933242798,1601943,228391,18066,307006,2514560,563399,4401,27670,1045424,1614229,2019112,2362885,1818345,54195,1455926
2023-05-04,32.78499984741211,36.18020248413086,318.347412109375,109.92965698242188,41.4900016784668,112.90618133544922,10727.576171875,334.29998779296875,71.10572814941406,6.642000198364258,49.39447021484375,26.232460021972656,30.10887908935547,265.0012512207031,1.9950000047683716,33.099998474121094,38.2051796125605,320.5159912109375,111.15655047552926,42.65999984741211,115.43356743389538,11079.299980788934,349.5,73.775857907689,6.958000183105469,50.694745434321405,27.657667392182862,30.718018601836523,276.24372854521783,2.059000015258789,32.25,35.95423732213787,314.4439697265625,109.43889958517892,41.34000015258789,112.27433295675719,10560.507362640881,331.79998779296875,70.7507404126422,6.6020002365112305,49.25886023840873,26.189270921362812,29.94274793666564,264.5194258626071,1.9900000095367432,32.58000183105469,37.54467294777132,314.877685546875,109.83150700064601,42.41999816894531,112.95478049299665,10850.679504994878,341.79998779296875,73.4671711272798,6.958000183105469,50.248027353793155,27.45036465174281,30.45695751744402,271.4255239775687,2.055999994277954,1787687,378889,16978,261551,2621320,600274,3087,29748,1061171,3524195,2078748,4125370,2174619,62328,4314868
2023-05-05,33.005001068115234,36.779876708984375,317.4800109863281,110.81301879882812,40.66999816894531,115.23915100097656,10991.369140625,344.70001220703125,73.12761688232422,6.745999813079834,50.29589080810547,26.888917922973633,31.113563537597656,264.84063720703125,2.0429999828338623,33.08000183105469,36.89285930094549,320.08230615834725,111.59822612016725,42.15999984741211,115.6279739098744,11114.472475,345.6000061035156,73.34369585022571,6.789999961853027,50.35173057099337,26.992570117121502,31.168939582630184,264.84063720703125,2.046999931335449,32.599998474121094,36.21496706449301,314.87771581430906,110.07688272286828,40.400001525878906,113.3436059466524,10736.3693765625,332.29998779296875,70.99768469297605,6.616000175476074,49.31470249059674,26.22382224738452,30.377849776144828,255.3648446000078,2.0,32.880001068115234,36.21496706449301,318.3474427103345,110.12595396824756,41.599998474121094,114.02406086986682,10736.3693765625,338.6000061035156,70.99768469297605,6.71999979019165,49.55401619483614,26.422487168047557,30.377849776144828,261.7891174201338,2.0,924604,297020,14222,170891,1794840,297657,2381,23186,611766,1180949,1046332,1904679,1813723,44740,1587777
2023-05-08,33.0,36.805946350097656,318.347412109375,109.73334503173828,40.20000076293945,118.69000244140625,10982.5751953125,354.70001220703125,73.08131408691406,7.056000232696533,50.383636474609375,27.009845733642578,31.1689395904541,268.21337890625,2.1429998874664307,33.18000030517578,37.28394832281929,323.552001953125,111.89267434837943,40.65999984741211,120.24531632488619,11211.195655743346,359.0,74.16171487394719,7.099999904632568,50.99787686794334,27.381263761726856,31.564484493796066,270.3012723858931,2.1530001163482666,32.834999084472656,36.64082050563,316.1788330078125,109.14443022868817,39.810001373291016,115.77378612876079,10938.609722152723,345.20001220703125,72.97327459698181,6.745999813079834,50.17623208974894,26.86300608643474,30.85250246067328,263.07396576865887,2.0360000133514404,33.0099983215332,36.719038708865,316.1788330078125,111.35283827503775,40.54999923706055,116.11400988197177,11070.506141632057,347.79998779296875,73.46717109030371,6.75,50.511270644455486,26.89755571945649,31.1689395904541,264.8406260155454,2.046999931335449,968254,441124,9752,186574,1652430,450372,1700,19759,534175,3385525,1348019,1044271,948073,33058,6186450
2023-05-09,33.29999923706055,36.501766204833984,313.142822265625,109.78242492675781,40.81999969482422,117.08607482910156,11008.9541015625,346.79998779296875,73.01957702636719,6.940000057220459,49.960853576660156,26.88028335571289,31.208494186401367,267.4103698730469,2.115000009536743,33.529998779296875,37.066675817462965,320.94970703125,110.32226104265244,40.849998474121094,118.00954772145006,11079.298856205072,355.0,73.4517349599685,7.047999858856201,50.38364123364042,26.97529608790254,31.232225915455356,268.8558215291572,2.1500000953674316,32.64500045776367,36.22365777516513,313.142822265625,108.50646022575027,40.060001373291016,115.77377905189172,10815.506026295428,343.1000061035156,72.13982358284436,6.880000114440918,49.450316849052534,26.621153678614995,30.82085884449983,262.91337376664313,2.0999999046325684,32.79999923706055,37.066675817462965,320.94970703125,110.1259535967074,40.20000076293945,118.00954772145006,11079.298856205072,354.70001220703125,72.54111225151554,7.03000020980835,50.38364123364042,26.93210863213414,31.010721730236302,263.55581578564784,2.1500000953674316,1575341,195291,16548,99142,1015480,371050,2057,24767,558207,1445459,1548902,1266344,1669705,44172,3170626
2023-05-10,33.970001220703125,37.214420318603516,317.9136962890625,110.91117095947266,40.959999084472656,115.82239532470703,11061.7138671875,355.20001220703125,73.69868469238281,7.248000144958496,50.144325256347656,26.932106018066406,31.263870239257812,267.8921813964844,2.246000051498413,34.9900016784668,37.701111739275476,319.6485595703125,111.64730704991163,41.459999084472656,119.07883546434519,11105.679343607164,360.70001220703125,74.70191521605437,7.308000087738037,50.91810916086104,27.424450215020215,31.580304358527318,270.7831090657489,2.2669999599456787,33.220001220703125,36.37140225708849,315.3114013671875,109.29167006283419,40.459999084472656,115.62797644966606,10797.921008669515,344.3999938964844,72.41763666639329,7.026000022888184,49.80130783742144,26.672976366119993,30.899969644102196,263.8770108854659,2.180000066757202,33.5,36.936311882594985,317.47998046875,110.42041356584667,41.0,117.32910267058529,11026.541486051769,350.0,73.80672417798309,7.078000068664551,50.45543337048101,27.001206929086315,31.208494192941444,266.60732193162727,2.2200000286102295,5432044,211412,13837,229192,1469120,456640,1938,24176,689401,3343443,1745166,1514286,1852334,48070,9864850
2023-05-11,35.779998779296875,37.17096710205078,314.877685546875,114.54277038574219,40.560001373291016,111.59387969970703,10991.369140625,349.5,73.34369659423828,7.165999889373779,49.83321762084961,26.776630401611328,30.686376571655273,265.1618347167969,2.240000009536743,35.79999923706055,37.81409162754449,319.21484375,117.38916470950873,41.2400016784668,115.57937381405624,11052.9208078125,357.6000061035156,74.39322806701531,7.355999946594238,50.75058731966436,27.26033681208355,31.485376007071665,270.14063077739536,2.2899999618530273,33.935001373291016,36.71035061903657,313.142822265625,111.30377614561894,40.400001525878906,111.01063050846246,10797.92104375,346.70001220703125,72.80349328129431,7.1519999504089355,49.58592507088799,26.690253845010197,30.42531546781224,263.7163588230856,2.2230000495910645,34.11000061035156,37.21442092426293,319.21484375,112.38344089232669,41.2400016784668,114.70450744351092,10964.9898546875,355.0,74.39322806701531,7.25,50.24005061023027,27.061671885148005,31.485376007071665,268.69517939033676,2.25,5000607,320160,13696,563326,1324000,992161,2598,24164,657413,1775198,1930896,1744213,2091195,46151,5076331
2023-05-12,35.375,37.7184944152832,321.3834228515625,112.72696685791016,41.77000045776367,111.44806671142578,11360.677734375,350.1000061035156,73.99193572998047,7.302000045776367,50.46340560913086,27.078947067260742,31.208494186401367,266.6073303222656,2.3440001010894775,36.08000183105469,38.16172870482772,321.3834228515625,117.04563322945798,42.09000015258789,112.71175597987632,11483.781053478135,355.6000061035156,75.16494429964035,7.329999923706055,50.694743487973234,27.60584092336026,31.485374417925186,269.0164327046957,2.3480000495910645,35.2599983215332,37.153584782522714,314.01025390625,112.72696685791016,40.599998474121094,110.8648249401162,10877.057552184113,345.0,73.79129433040777,7.124000072479248,49.37851671018728,26.86300650316376,30.74175106914108,263.87701919017616,2.240000009536743,35.79999923706055,37.3708572081515,314.877685546875,114.83722505531726,40.79999923706055,112.2743265054745,10903.436834849072,345.0,73.899333818704,7.202000141143799,49.7773738627961,27.027121793176278,30.852503161750608,265.0012620673122,2.240999937057495,2654884,173092,17992,340639,1973820,684339,3043,22358,744586,2331820,2412410,2031857,1896484,60797,10364939
